index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
2276,CCT Central Europe Malta Finals 1,2023-02-19,bad news eagles,eternal fire,-1,8,L,69.66666666666667,22.0
2277,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-19,mibr,evil geniuses,27,-1,W,64.66666666666667,23.5
2278,CCT Central Europe Malta Finals 1,2023-02-19,ence,eternal fire,12,8,L,50.5,25.6
2279,BLAST.tv Paris Major 2023 Europe RMR Last Chance Qualifier,2023-02-19,jano,saw,-1,17,L,25.833333333333332,0
2280,BLAST.tv Paris Major 2023 Europe RMR Last Chance Qualifier,2023-02-19,saw,heet,17,-1,W,70.0,26.1
2281,CCT Central Europe Malta Finals 1,2023-02-19,eternal fire,bad news eagles,8,-1,L,59.0,26.5
2282,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-19,complexity,mibr,13,27,W,41.0,24.6
2283,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,timbermen,pain,-1,14,L,41.0,24.6
2284,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-18,viperio,saw,-1,17,W,13.2,20.9
2285,BLAST.tv Paris Major 2023 South America RMR Closed Qualifier,2023-02-18,fluxo,imperial,-1,19,L,55.0,24.5
2286,CCT Central Europe Malta Finals 1,2023-02-18,ence,movistar riders,12,-1,W,50.5,25.6
2287,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-18,heet,monte,-1,22,L,50.5,25.6
2288,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-18,500,falcons,-1,10,L,45.166666666666664,23.7
2289,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-18,saw,astralis,17,25,L,70.0,26.1
2290,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-18,into the breach,eternal fire,-1,8,L,70.0,26.1
2291,CCT Central Europe Malta Finals 1,2023-02-18,bad news eagles,movistar riders,-1,-1,W,70.0,26.1
2292,CCT Central Europe Malta Finals 1,2023-02-18,ence,eternal fire,12,8,L,50.5,25.6
2293,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,complexity,yur,13,-1,W,41.0,24.6
2294,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,pain,strife,14,-1,W,69.66666666666667,22.0
2295,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,mibr,detonate,27,-1,W,64.66666666666667,23.5
2296,BLAST.tv Paris Major 2023 South America RMR Closed Qualifier,2023-02-18,imperial,red canids,19,-1,W,70.66666666666667,24.0
2297,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,complexity,reign,13,-1,W,41.0,24.6
2298,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-18,forze,ecstatic,-1,18,W,1,0
2299,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,mibr,take flyte,27,-1,W,64.66666666666667,23.5
2300,BLAST.tv Paris Major 2023 North America RMR Closed Qualifier,2023-02-18,pain,4ormula,14,-1,W,69.66666666666667,22.0
2301,CCT Central Europe Malta Finals 1,2023-02-18,spirit,movistar riders,3,-1,L,74.16666666666667,21.3
2302,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-17,gamerlegion,heet,21,-1,W,33.57142857142857,22.9
2303,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-17,havu,eternal fire,-1,8,L,25.714285714285715,24.7
2304,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-17,apeks,500,20,-1,W,39.166666666666664,25.7
2305,BLAST.tv Paris Major 2023 South America RMR Closed Qualifier,2023-02-17,imperial,intz,19,-1,W,70.66666666666667,24.0
2306,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-17,tricked,g2,-1,5,L,70.66666666666667,24.0
2307,CCT Central Europe Malta Finals 1,2023-02-17,forze,eternal fire,-1,8,L,1,0
2308,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-17,falcons,illuminar,10,-1,W,44.166666666666664,28.4
2309,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-17,monte,ination,22,-1,W,43.5,21.3
2310,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-17,saw,mixfits,17,-1,W,70.0,26.1
2311,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-17,viperio,astralis,-1,25,L,13.2,20.9
2312,CCT Central Europe Malta Finals 1,2023-02-17,sprout,movistar riders,-1,-1,L,13.2,20.9
2313,CCT Central Europe Malta Finals 1,2023-02-17,honoris,eternal fire,-1,8,L,13.2,20.9
2314,IEM Rio 2023 North America Closed Qualifier,2023-02-17,mibr,complexity,27,13,W,64.66666666666667,23.5
2315,CCT Central Europe Malta Finals 1,2023-02-17,spirit,ence,3,12,L,74.16666666666667,21.3
2316,IEM Rio 2023 North America Closed Qualifier,2023-02-17,complexity,pain,13,14,W,41.0,24.6
2317,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-17,monte,ecstatic,22,18,W,43.5,21.3
2318,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,saw,b8,17,-1,W,70.0,26.1
2319,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,astralis,pge turow,25,-1,W,60.333333333333336,22.6
2320,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,gamerlegion,illuminar,21,-1,W,33.57142857142857,22.9
2321,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,9ine,eternal fire,-1,8,W,33.57142857142857,22.9
2322,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,falcons,apeks,10,20,L,44.166666666666664,28.4
2323,CCT Central Europe Malta Finals 1,2023-02-16,movistar riders,ence,-1,12,L,57.833333333333336,25.7
2324,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,g2,ldlc,5,-1,W,52.0,26.0
2325,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,monte,500,22,-1,L,43.5,21.3
2326,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,apeks,ination,20,-1,W,39.166666666666664,25.7
2327,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,falcons,honoris,10,-1,W,44.166666666666664,28.4
2328,CCT Central Europe Malta Finals 1,2023-02-16,spirit,sprout,3,-1,W,74.16666666666667,21.3
2329,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,gamerlegion,anonymo,21,-1,W,33.57142857142857,22.9
2330,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,2023-02-16,aurora,ecstatic,28,18,W,68.5,22.4
2331,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,saw,tricked,17,-1,L,70.0,26.1
2332,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,astralis,ldlc,25,-1,L,60.333333333333336,22.6
2333,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,copenhagen flames,eternal fire,-1,8,L,60.333333333333336,22.6
2334,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,2023-02-16,g2,pge turow,5,-1,W,52.0,26.0
2335,Elisa Invitational Winter 2023,2023-02-16,monte,ikla,22,-1,W,43.5,21.3
2336,CCT Central Europe Malta Finals 1,2023-02-16,eternal fire,bad news eagles,8,-1,L,59.0,26.5
2337,IEM Rio 2023 North America Closed Qualifier,2023-02-16,atk,pain,-1,14,L,59.0,26.5
2338,IEM Rio 2023 North America Closed Qualifier,2023-02-16,complexity,mibr,13,27,L,41.0,24.6
2339,IEM Rio 2023 North America Closed Qualifier,2023-02-16,mibr,pain,27,14,W,64.66666666666667,23.5
2340,IEM Rio 2023 North America Closed Qualifier,2023-02-16,complexity,atk,13,-1,W,41.0,24.6
2341,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 2,2023-02-15,mixfits,eternal fire,-1,8,L,41.0,24.6
2342,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 2,2023-02-15,jano,ecstatic,-1,18,L,25.833333333333332,0
2343,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 2,2023-02-15,eternal fire,ecstatic,8,18,W,59.0,26.5
2344,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 2,2023-02-15,k23,ecstatic,-1,18,L,59.0,26.5
2345,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 2,2023-02-15,godsent,eternal fire,-1,8,L,59.0,26.5
2346,ESL Challenger League Season 44 North America,2023-02-15,eg black,mibr,-1,27,L,59.0,26.5
2347,European Development Championship 7,2023-02-14,monte,mouz nxt,22,-1,L,43.5,21.3
2348,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 1,2023-02-14,500,eternal fire,-1,8,W,45.166666666666664,23.7
2349,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 1,2023-02-14,singularity,eternal fire,-1,8,L,45.166666666666664,23.7
2350,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 1,2023-02-14,honoris,ecstatic,-1,18,W,45.166666666666664,23.7
2351,CCT North America Series 3,2023-02-14,pain,nouns,14,-1,L,69.66666666666667,22.0
2352,ESL Challenger League Season 44 North America,2023-02-14,noxious,mibr,-1,27,L,69.66666666666667,22.0
2353,ESL Challenger League Season 44 North America,2023-02-13,davenport university,mibr,-1,27,L,69.66666666666667,22.0
2354,European Development Championship 7,2023-02-13,monte,prospects,22,-1,L,43.5,21.3
2355,Elisa Invitational Winter 2023,2023-02-13,young ninjas,apeks,-1,20,W,45.285714285714285,0
2356,European Development Championship 7,2023-02-13,monte,forward,22,-1,W,43.5,21.3
2357,IEM Rio 2023 North America Open Qualifier 2,2023-02-13,mibr,atk,27,-1,W,64.66666666666667,23.5
2358,CCT North America Series 3,2023-02-13,pain,strife,14,-1,W,69.66666666666667,22.0
2359,IEM Rio 2023 South America Open Qualifier 2,2023-02-13,fluxo,imperial,-1,19,W,55.0,24.5
2360,IEM Rio 2023 North America Open Qualifier 2,2023-02-13,mibr,mythic,27,-1,W,64.66666666666667,23.5
2361,IEM Rio 2023 North America Open Qualifier 2,2023-02-13,mibr,mad kings,27,-1,W,64.66666666666667,23.5
2362,IEM Rio 2023 South America Open Qualifier 2,2023-02-12,imperial,intz,19,-1,W,70.66666666666667,24.0
2363,IEM Katowice 2023,2023-02-12,heroic,g2,11,5,L,58.166666666666664,24.2
2364,IEM Rio 2023 South America Open Qualifier 2,2023-02-12,oddik,imperial,-1,19,L,40.833333333333336,25.2
2365,IEM Rio 2023 South America Open Qualifier 2,2023-02-12,seleção do bt0,imperial,-1,19,L,40.833333333333336,25.2
2366,IEM Katowice 2023,2023-02-11,g2,liquid,5,-1,W,52.0,26.0
2367,IEM Katowice 2023,2023-02-11,heroic,natus vincere,11,2,W,58.166666666666664,24.2
2368,OMEN WGR Challenge 2023,2023-02-11,9ine,falcons,-1,10,W,58.166666666666664,24.2
2369,CCT North America Series 3,2023-02-11,pain,take flyte,14,-1,W,69.66666666666667,22.0
2370,IEM Katowice 2023,2023-02-10,liquid,vitality,-1,4,W,66.16666666666667,25.2
2371,IEM Rio 2023 Europe Closed Qualifier,2023-02-10,big,honoris,-1,-1,W,43.0,24.7
2372,IEM Katowice 2023,2023-02-10,natus vincere,outsiders,2,-1,W,67.66666666666667,23.4
2373,IEM Rio 2023 Europe Closed Qualifier,2023-02-09,big,ence,-1,12,W,43.0,24.7
2374,IEM Rio 2023 Europe Closed Qualifier,2023-02-09,monte,ence,22,12,L,43.5,21.3
2375,IEM Rio 2023 Europe Closed Qualifier,2023-02-09,heet,big,-1,-1,L,43.5,21.3
2376,CCT North America Series 3,2023-02-09,pain,limitless,14,-1,W,69.66666666666667,22.0
2377,ESL Challenger League Season 44 North America,2023-02-09,strife,mibr,-1,27,L,75.0,23.3
2378,IEM Rio 2023 Europe Closed Qualifier,2023-02-09,big,sprout,-1,-1,W,43.0,24.7
2379,IEM Rio 2023 Europe Closed Qualifier,2023-02-09,bad news eagles,ence,-1,12,L,43.0,24.7
2380,IEM Rio 2023 Europe Closed Qualifier,2023-02-08,monte,9ine,22,-1,L,43.5,21.3
2381,IEM Rio 2023 Europe Closed Qualifier,2023-02-08,ence,honoris,12,-1,L,50.5,25.6
2382,Elisa Invitational Winter 2023,2023-02-08,apeks,godsent,20,-1,L,39.166666666666664,25.7
2383,IEM Rio 2023 Europe Closed Qualifier,2023-02-08,monte,big,22,-1,W,43.5,21.3
2384,ESL Challenger League Season 44 North America,2023-02-08,nouns,mibr,-1,27,L,63.0,24.2
2385,IEM Katowice 2023,2023-02-07,outsiders,complexity,-1,13,W,63.0,24.2
2386,IEM Katowice 2023,2023-02-07,g2,natus vincere,5,2,W,52.0,26.0
2387,IEM Katowice 2023,2023-02-07,faze,liquid,1,-1,L,55.714285714285715,26.6
2388,IEM Katowice 2023,2023-02-07,heroic,vitality,11,4,W,58.166666666666664,24.2
2389,IEM Katowice 2023,2023-02-07,fnatic,complexity,-1,13,L,51.714285714285715,24.6
2390,Elisa Invitational Winter 2023,2023-02-07,tricked,monte,-1,22,L,51.714285714285715,24.6
2391,ESL Challenger League Season 44 North America,2023-02-07,vendetta,mibr,-1,27,L,51.714285714285715,24.6
2392,IEM Katowice 2023,2023-02-07,spirit,liquid,3,-1,L,74.16666666666667,21.3
2393,CCT North Europe Series 3,2023-02-06,aurora,astralis,28,25,L,68.5,22.4
2394,IEM Katowice 2023,2023-02-06,faze,ihc,1,-1,W,55.714285714285715,26.6
2395,IEM Katowice 2023,2023-02-06,complexity,mouz,13,6,W,41.0,24.6
2396,IEM Katowice 2023,2023-02-06,vitality,fnatic,4,-1,W,59.0,24.9
2397,Thunderpick Bitcoin Series 2,2023-02-06,falcons,gamerlegion,10,21,L,44.166666666666664,28.4
2398,CCT North Europe Series 3,2023-02-06,astralis,copenhagen flames,25,-1,W,60.333333333333336,22.6
2399,Thunderpick Bitcoin Series 2,2023-02-06,godsent,gamerlegion,-1,21,L,60.333333333333336,22.6
2400,IEM Katowice 2023,2023-02-06,heroic,og,11,-1,W,58.166666666666664,24.2
2401,Thunderpick Bitcoin Series 2,2023-02-05,godsent,falcons,-1,10,L,58.166666666666664,24.2
2402,IEM Katowice 2023,2023-02-05,cloud9,ihc,7,-1,L,54.333333333333336,25.4
2403,IEM Katowice 2023,2023-02-05,natus vincere,liquid,2,-1,W,67.66666666666667,23.4
2404,Thunderpick Bitcoin Series 2,2023-02-05,ikla,gamerlegion,-1,21,L,67.66666666666667,23.4
2405,IEM Katowice 2023,2023-02-05,big,spirit,-1,3,L,43.0,24.7
2406,IEM Katowice 2023,2023-02-05,g2,faze,5,1,W,52.0,26.0
2407,CCT North Europe Series 3,2023-02-05,astralis,9ine,25,-1,W,60.333333333333336,22.6
2408,IEM Katowice 2023,2023-02-05,heroic,complexity,11,13,W,58.166666666666664,24.2
2409,Thunderpick Bitcoin Series 2,2023-02-05,gamerlegion,falcons,21,10,L,33.57142857142857,22.9
2410,IEM Katowice 2023,2023-02-04,og,mouz,-1,6,W,52.333333333333336,22.0
2411,CCT North Europe Series 3,2023-02-04,astralis,eyeballers,25,-1,W,60.333333333333336,22.6
2412,IEM Katowice 2023,2023-02-04,vitality,ninjas in pyjamas,4,-1,W,59.0,24.9
2413,IEM Katowice 2023,2023-02-04,faze,spirit,1,3,W,55.714285714285715,26.6
2414,IEM Katowice 2023,2023-02-04,cloud9,natus vincere,7,2,L,54.333333333333336,25.4
2415,IEM Katowice 2023,2023-02-04,g2,big,5,-1,W,52.0,26.0
2416,IEM Katowice 2023 Play-in,2023-02-03,spirit,sprout,3,-1,W,74.16666666666667,21.3
2417,IEM Katowice 2023 Play-in,2023-02-03,ence,complexity,12,13,L,50.5,25.6
2418,IEM Katowice 2023 Play-in,2023-02-03,furia,ihc,15,-1,L,60.166666666666664,27.1
2419,CCT North Europe Series 3,2023-02-03,gamerlegion,forze,21,-1,L,33.57142857142857,22.9
2420,Thunderpick Bitcoin Series 2,2023-02-03,nexus,falcons,-1,10,L,51.57142857142857,25.2
2421,IEM Katowice 2023 Play-in,2023-02-03,fnatic,mibr,-1,27,W,51.714285714285715,24.6
2422,Thunderpick Bitcoin Series 2,2023-02-03,masonic,falcons,-1,10,L,51.714285714285715,24.6
2423,European Development Championship 7 Closed Qualifier,2023-02-02,ecstatic,voyvoda,18,-1,L,63.833333333333336,23.4
2424,Thunderpick Bitcoin Series 2,2023-02-02,falcons,sangal,10,-1,W,44.166666666666664,28.4
2425,IEM Katowice 2023 Play-in,2023-02-02,permitta,complexity,-1,13,L,55.833333333333336,24.7
2426,MistGames Heroes of Lofoten 2023 Closed Qualifier,2023-02-02,big academy,metizport,-1,29,W,55.833333333333336,24.7
2427,IEM Katowice 2023 Play-in,2023-02-02,grayhound,mibr,-1,27,L,55.833333333333336,24.7
2428,IEM Katowice 2023 Play-in,2023-02-02,ihc,pain,-1,14,W,55.833333333333336,24.7
2429,Elisa Invitational Winter 2023 Contenders,2023-02-02,eclot,ecstatic,-1,18,W,53.0,24.1
2430,IEM Katowice 2023 Play-in,2023-02-01,furia,big,15,-1,L,60.166666666666664,27.1
2431,ESL Challenger League Season 44 Europe,2023-02-01,forze,ecstatic,-1,18,W,1,0
2432,IEM Katowice 2023 Play-in,2023-02-01,cloud9,ence,7,12,W,54.333333333333336,25.4
2433,ESL Challenger League Season 44 Europe,2023-02-01,saw,monte,17,22,L,70.0,26.1
2434,IEM Katowice 2023 Play-in,2023-02-01,spirit,ninjas in pyjamas,3,-1,L,74.16666666666667,21.3
2435,IEM Katowice 2023 Play-in,2023-02-01,big,complexity,-1,13,W,43.0,24.7
2436,IEM Katowice 2023 Play-in,2023-02-01,furia,permitta,15,-1,W,60.166666666666664,27.1
2437,IEM Katowice 2023 Play-in,2023-02-01,mibr,ninjas in pyjamas,27,-1,L,64.66666666666667,23.5
2438,IEM Katowice 2023 Play-in,2023-02-01,spirit,grayhound,3,-1,W,74.16666666666667,21.3
2439,IEM Katowice 2023 Play-in,2023-02-01,ence,pain,12,14,W,50.5,25.6
2440,IEM Katowice 2023 Play-in,2023-02-01,cloud9,ihc,7,-1,W,54.333333333333336,25.4
2441,Elisa Invitational Winter 2023 Contenders,2023-02-01,falcons,young ninjas,10,-1,L,44.166666666666664,28.4
2442,IEM Rio 2023 Europe Open Qualifier 2,2023-01-31,eternal fire,voyvoda,8,-1,L,59.0,26.5
2443,IEM Rio 2023 Europe Open Qualifier 2,2023-01-31,falcons,honoris,10,-1,L,44.166666666666664,28.4
2444,IEM Rio 2023 Europe Open Qualifier 2,2023-01-31,movistar riders,voyvoda,-1,-1,L,57.833333333333336,25.7
2445,IEM Rio 2023 Europe Open Qualifier 2,2023-01-31,gamerlegion,falcons,21,10,L,33.57142857142857,22.9
2446,IEM Rio 2023 Europe Open Qualifier 2,2023-01-31,eternal fire,lilmix,8,-1,W,59.0,26.5
2447,Elisa Invitational Winter 2023 Contenders,2023-01-31,godsent,ecstatic,-1,18,W,59.0,26.5
2448,European Development Championship 7 Closed Qualifier,2023-01-31,ecstatic,undefined,18,-1,L,63.833333333333336,23.4
2449,Thunderpick Bitcoin Series 2,2023-01-31,falcons,ikla,10,-1,L,44.166666666666664,28.4
2450,BLAST Premier Spring Groups 2023,2023-01-29,og,astralis,-1,25,L,52.333333333333336,22.0
2451,OMEN WGR Challenge 2023,2023-01-29,copenhagen flames,falcons,-1,10,L,52.333333333333336,22.0
2452,ESEA Winter 2023 Cash Cup 2 Europe,2023-01-29,ination,9 pandas,-1,23,W,52.333333333333336,22.0
2453,BLAST Premier Spring Groups 2023,2023-01-29,heroic,big,11,-1,W,58.166666666666664,24.2
2454,OMEN WGR Challenge 2023,2023-01-29,saw,9ine,17,-1,L,70.0,26.1
2455,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,heet,eternal fire,-1,8,W,70.0,26.1
2456,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,monte,spirit academy,22,-1,W,43.5,21.3
2457,BLAST Premier Spring Groups 2023,2023-01-28,natus vincere,complexity,2,13,W,67.66666666666667,23.4
2458,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,sinners,eternal fire,-1,8,L,53.5,25.6
2459,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,apeks,heet,20,-1,L,39.166666666666664,25.7
2460,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,monte,b8,22,-1,W,43.5,21.3
2461,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,websterz,eternal fire,-1,8,L,43.5,21.3
2462,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,monte,havu,22,-1,W,43.5,21.3
2463,IEM Rio 2023 Europe Open Qualifier 1,2023-01-28,apeks,ecstatic,20,18,W,39.166666666666664,25.7
2464,BLAST Premier Spring Groups 2023,2023-01-28,astralis,ninjas in pyjamas,25,-1,W,60.333333333333336,22.6
2465,IEM Rio 2023 South America Open Qualifier 1,2023-01-27,o plano,imperial,-1,19,W,0.0,30.9
2466,BLAST Premier Spring Groups 2023,2023-01-27,big,liquid,-1,-1,W,43.0,24.7
2467,BLAST Premier Spring Groups 2023,2023-01-27,complexity,evil geniuses,13,-1,W,41.0,24.6
2468,IEM Rio 2023 South America Open Qualifier 1,2023-01-27,imperial,red canids,19,-1,W,70.66666666666667,24.0
2469,BLAST Premier Spring Groups 2023,2023-01-26,g2,natus vincere,5,2,W,52.0,26.0
2470,CCT South Europe Series 2,2023-01-26,saw,bad news eagles,17,-1,L,70.0,26.1
2471,OMEN WGR Challenge 2023,2023-01-26,eternal fire,9ine,8,-1,L,59.0,26.5
2472,BLAST Premier Spring Groups 2023,2023-01-26,faze,og,1,-1,W,55.714285714285715,26.6
2473,Elisa Invitational Winter 2023 Contenders,2023-01-26,eyeballers,monte,-1,22,L,41.0,25.4
2474,CCT South Europe Series 2,2023-01-26,aurora,gamerlegion,28,21,W,68.5,22.4
2475,OMEN WGR Challenge 2023,2023-01-26,rapid ninjas,falcons,-1,10,L,68.5,22.4
2476,OMEN WGR Challenge 2023,2023-01-26,eternal fire,falcons,8,10,L,59.0,26.5
2477,BLAST Premier Spring Groups 2023,2023-01-25,vitality,heroic,4,11,W,59.0,24.9
2478,ESL Challenger League Season 44 Europe,2023-01-25,falcons,ecstatic,10,18,L,44.166666666666664,28.4
2479,CCT South Europe Series 2,2023-01-25,eternal fire,bad news eagles,8,-1,L,59.0,26.5
2480,CCT South Europe Series 2,2023-01-25,saw,sangal,17,-1,W,70.0,26.1
2481,BLAST Premier Spring Groups 2023,2023-01-25,natus vincere,ninjas in pyjamas,2,-1,W,67.66666666666667,23.4
2482,European Pro League Season 5,2023-01-25,ination,ecstatic,-1,18,L,67.66666666666667,23.4
2483,CCT South Europe Series 2,2023-01-25,gamerlegion,500,21,-1,W,33.57142857142857,22.9
2484,Elisa Invitational Winter 2023 Contenders,2023-01-25,prospects,falcons,-1,10,L,33.57142857142857,22.9
2485,European Pro League Season 5,2023-01-25,monte,ecstatic,22,18,L,43.5,21.3
2486,ESL Challenger League Season 44 Europe,2023-01-24,ldlc,movistar riders,-1,-1,W,43.5,21.3
2487,CCT South Europe Series 2,2023-01-24,eternal fire,apeks,8,20,W,59.0,26.5
2488,BLAST Premier Spring Groups 2023,2023-01-24,evil geniuses,heroic,-1,11,L,59.0,26.5
2489,European Pro League Season 5,2023-01-24,ecstatic,astralis talent,18,-1,W,63.833333333333336,23.4
2490,Elisa Invitational Winter 2023 Contenders,2023-01-24,big academy,ecstatic,-1,18,L,63.833333333333336,23.4
2491,European Pro League Season 5,2023-01-24,monte,ination,22,-1,L,43.5,21.3
2492,BLAST Premier Spring Groups 2023,2023-01-23,big,ninjas in pyjamas,-1,-1,L,43.0,24.7
2493,CCT South Europe Series 2,2023-01-23,saw,alternate attax,17,-1,W,70.0,26.1
2494,BLAST Premier Spring Groups 2023,2023-01-23,g2,natus vincere,5,2,W,52.0,26.0
2495,CCT South Europe Series 2,2023-01-23,gamerlegion,prospects,21,-1,W,33.57142857142857,22.9
2496,CCT South Europe Series 2,2023-01-23,movistar riders,aurora,-1,28,L,57.833333333333336,25.7
2497,European Pro League Season 5,2023-01-23,ecstatic,synck,18,-1,W,63.833333333333336,23.4
2498,OMEN WGR Challenge 2023,2023-01-22,movistar riders,copenhagen flames,-1,-1,L,57.833333333333336,25.7
2499,Thunderpick Bitcoin Series 2,2023-01-22,permitta,falcons,-1,10,L,55.833333333333336,24.7
2500,BLAST Premier Spring Groups 2023,2023-01-22,complexity,liquid,13,-1,L,41.0,24.6
2501,BLAST Premier Spring Groups 2023,2023-01-22,faze,og,1,-1,W,55.714285714285715,26.6
2502,OMEN WGR Challenge 2023,2023-01-22,movistar riders,saw,-1,17,L,57.833333333333336,25.7
2503,OMEN WGR Challenge 2023,2023-01-22,saw,gtz,17,-1,W,70.0,26.1
2504,OMEN WGR Challenge 2023,2023-01-22,copenhagen flames,movistar riders,-1,-1,L,70.0,26.1
2505,European Pro League Season 5,2023-01-22,monte,astralis talent,22,-1,W,43.5,21.3
2506,BLAST Premier Spring Groups 2023,2023-01-21,heroic,astralis,11,25,W,58.166666666666664,24.2
2507,BLAST Premier Spring Groups 2023,2023-01-21,evil geniuses,vitality,-1,4,L,58.166666666666664,24.2
2508,BLAST Premier Spring Groups 2023,2023-01-21,natus vincere,ninjas in pyjamas,2,-1,W,67.66666666666667,23.4
2509,European Pro League Season 5,2023-01-21,ecstatic,los kogutos,18,-1,W,63.833333333333336,23.4
2510,ESL Pro League Season 17 Conference North America,2023-01-21,nouns,mibr,-1,27,L,63.0,24.2
2511,ESL Pro League Season 17 Conference Europe,2023-01-20,forze,falcons,-1,10,W,1,0
2512,BLAST Premier Spring Groups 2023,2023-01-20,g2,big,5,-1,W,52.0,26.0
2513,BLAST Premier Spring Groups 2023,2023-01-20,faze,complexity,1,13,W,55.714285714285715,26.6
2514,ESL Pro League Season 17 Conference North America,2023-01-20,atk,mibr,-1,27,W,55.714285714285715,26.6
2515,ESL Pro League Season 17 Conference Europe,2023-01-20,falcons,partizan,10,-1,W,44.166666666666664,28.4
2516,ESL Pro League Season 17 Conference South America,2023-01-20,imperial,00nation,19,-1,W,70.66666666666667,24.0
2517,BLAST Premier Spring Groups 2023,2023-01-19,vitality,astralis,4,25,W,59.0,24.9
2518,BLAST Premier Spring Groups 2023,2023-01-19,heroic,evil geniuses,11,-1,L,58.166666666666664,24.2
2519,CCT South Europe Series 2,2023-01-19,apeks,alternate attax,20,-1,W,39.166666666666664,25.7
2520,Elisa Invitational Winter 2023 Contenders,2023-01-19,big academy,monte,-1,22,L,39.166666666666664,25.7
2521,Thunderpick Bitcoin Series 2,2023-01-19,big academy,falcons,-1,10,L,39.166666666666664,25.7
2522,European Pro League Season 5,2023-01-19,monte,ecstatic,22,18,W,43.5,21.3
2523,ESL Pro League Season 17 Conference North America,2023-01-19,nouns,mibr,-1,27,L,63.0,24.2
2524,ESL Pro League Season 17 Conference Europe,2023-01-18,permitta,falcons,-1,10,L,55.833333333333336,24.7
2525,ESL Pro League Season 17 Conference Europe,2023-01-18,sprout,eternal fire,-1,8,L,55.833333333333336,24.7
2526,ESL Pro League Season 17 Conference Europe,2023-01-18,saw,forze,17,-1,W,70.0,26.1
2527,European Pro League Season 5,2023-01-18,ungentium,ecstatic,-1,18,L,70.0,26.1
2528,Elisa Invitational Winter 2023 Contenders,2023-01-18,ence academy,ecstatic,-1,18,L,75.0,19.9
