index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
1272,ESL Pro League Season 18,2023-09-01,ninjas in pyjamas,furia,-1,15,L,66.83333333333333,0
1273,ESL Pro League Season 18,2023-09-01,gamerlegion,astralis,21,25,L,33.57142857142857,22.9
1274,Perfect World Arena Premier League Season 5,2023-09-01,wings up,themongolz,-1,16,W,33.57142857142857,22.9
1275,CCT South America Series 10,2023-09-01,pain,yawara,14,-1,W,69.66666666666667,22.0
1276,ESL Pro League Season 18,2023-08-31,orks,astralis,-1,25,L,69.66666666666667,22.0
1277,ESL Pro League Season 18,2023-08-31,vitality,ninjas in pyjamas,4,-1,W,59.0,24.9
1278,ESL Pro League Season 18,2023-08-31,movistar riders,gamerlegion,-1,21,W,57.833333333333336,25.7
1279,ESL Pro League Season 18,2023-08-31,furia,grayhound,15,-1,W,60.166666666666664,27.1
1280,Perfect World Arena Premier League Season 5,2023-08-31,themongolz,lynn vision,16,-1,L,71.33333333333333,19.6
1281,ESL Pro League Season 18,2023-08-30,astralis,ninjas in pyjamas,25,-1,L,60.333333333333336,22.6
1282,ESL Pro League Season 18,2023-08-30,vitality,orks,4,-1,W,59.0,24.9
1283,ESL Pro League Season 18,2023-08-30,furia,movistar riders,15,-1,L,60.166666666666664,27.1
1284,ESL Pro League Season 18,2023-08-30,grayhound,gamerlegion,-1,21,L,60.166666666666664,27.1
1285,Thunderpick World Championship 2023 North America Series 2,2023-08-30,nouns,complexity,-1,13,L,63.0,24.2
1286,Perfect World Arena Premier League Season 5,2023-08-29,themongolz,newhappy,16,-1,W,71.33333333333333,19.6
1287,Thunderpick World Championship 2023 North America Series 2,2023-08-29,forsaken,complexity,-1,13,L,71.33333333333333,19.6
1288,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,2023-08-28,themongolz,5yclone,16,-1,W,71.33333333333333,19.6
1289,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,2023-08-28,atox,themongolz,-1,16,L,55.333333333333336,24.0
1290,Thunderpick World Championship 2023 North America Series 2,2023-08-28,complexity,the jungle,13,-1,W,41.0,24.6
1291,PARI Dunav Party 2023,2023-08-28,virtus.pro,spirit,9,3,L,65.5,24.3
1292,CCT North Europe Series 7,2023-08-27,big,monte,-1,22,W,43.0,24.7
1293,PARI Dunav Party 2023,2023-08-27,spirit,9 pandas,3,23,W,74.16666666666667,21.3
1294,CCT North Europe Series 7,2023-08-27,monte,bad news eagles,22,-1,W,43.5,21.3
1295,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,2023-08-27,themongolz,geud,16,-1,W,71.33333333333333,19.6
1296,CCT North Europe Series 7,2023-08-27,los kogutos,big,-1,-1,L,71.33333333333333,19.6
1297,PARI Dunav Party 2023,2023-08-27,virtus.pro,1win,9,-1,W,65.5,24.3
1298,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,2023-08-27,5yclone,themongolz,-1,16,W,65.5,24.3
1299,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,2023-08-27,themongolz,nkt,16,-1,W,71.33333333333333,19.6
1300,CCT North Europe Series 7,2023-08-27,9 pandas,bad news eagles,23,-1,L,51.857142857142854,26.0
1301,CBCS Masters 2023,2023-08-27,fluxo,pain,-1,14,W,55.0,24.5
1302,CCT North Europe Series 7,2023-08-26,big,saw,-1,17,W,43.0,24.7
1303,Pinnacle Cup V,2023-08-26,furia,00nation,15,-1,L,60.166666666666664,27.1
1304,CCT North Europe Series 7,2023-08-26,monte,preasy,22,-1,W,43.5,21.3
1305,PARI Dunav Party 2023,2023-08-26,9 pandas,aurora,23,28,W,51.857142857142854,26.0
1306,IEM Sydney 2023 North America Closed Qualifier,2023-08-26,m80,complexity,-1,13,L,51.857142857142854,23.0
1307,IEM Sydney 2023 North America Closed Qualifier,2023-08-26,complexity,forsaken,13,-1,W,41.0,24.6
1308,CCT North Europe Series 7,2023-08-26,apeks,los kogutos,20,-1,L,39.166666666666664,25.7
1309,Pinnacle Cup V,2023-08-25,astralis,00nation,25,-1,L,60.333333333333336,22.6
